Category,Product Name,Price,Description,Image,Stock
Bikes & Accessories,Full Face Riding Helmet,1850,DOT & ISI certified safety helmet,helmet.jpg,10
Bikes & Accessories,Chain Lube & Cleaner Spray,399,High performance synthetic chain spray,,
Bikes & Accessories,Waterproof Bike Cover,499,Heavy duty UV and rain protection cover,,
Groceries,Organic Forest Honey 500g,450,100% natural raw forest honey,,
Groceries,Cold Pressed Coconut Oil 1L,520,Unrefined pure extra virgin coconut oil,,
Digital Templates,WhatsApp Store Setup Guide,299,E-book step-by-step store setup,,
Digital Templates,Instagram Marketing Bundle,499,500+ editable Canva social posts,,
Electronics,Bluetooth Wireless Earbuds,1299,IPX7 waterproof earbuds with bass,,
Baby Care,Baby Diapers,699,Baby Diapers,,
Baby Care,Baby Powder,100,Baby Powder,,
